    HandType, Income Rate, Error, SD, Iteration
32o, -0.4467, -0.001413, 2.221, 0
22, 0.1974, 0.0006244, 3.237, 0
32s, -0.07617, -0.0002409, 2.845, 0
33, 0.2165, 0.0006846, 3.253, 0
42o, -0.3959, -0.001252, 2.302, 0
42s, -0.03614, -0.0001143, 2.892, 0
43o, -0.3251, -0.001028, 2.427, 0
43s, 0.04127, 0.0001305, 2.989, 0
44, 0.2026, 0.0006406, 3.229, 0
52o, -0.3648, -0.001153, 2.350, 0
52s, -0.003256, -1.030e-05, 2.926, 0
53o, -0.2604, -0.0008236, 2.524, 0
53s, 0.09301, 0.0002941, 3.047, 0
54o, -0.1718, -0.0005434, 2.657, 0
54s, 0.1751, 0.0005537, 3.136, 0
55, 0.2484, 0.0007854, 3.275, 0
62o, -0.4744, -0.001500, 2.142, 0
62s, -0.1038, -0.0003281, 2.791, 0
63o, -0.3408, -0.001078, 2.390, 0
63s, 0.02452, 7.754e-05, 2.961, 0
64o, -0.2227, -0.0007041, 2.581, 0
64s, 0.1041, 0.0003293, 3.056, 0
65o, -0.1651, -0.0005222, 2.663, 0
65s, 0.1918, 0.0006064, 3.155, 0
66, 0.3176, 0.001004, 3.354, 0
72o, -0.5134, -0.001623, 2.056, 0
72s, -0.1263, -0.0003993, 2.752, 0
73o, -0.4176, -0.001320, 2.244, 0
73s, -0.04781, -0.0001512, 2.860, 0
74o, -0.3032, -0.0009587, 2.439, 0
74s, 0.04096, 0.0001295, 2.972, 0
75o, -0.2190, -0.0006927, 2.575, 0
75s, 0.1414, 0.0004472, 3.090, 0
76o, -0.1103, -0.0003487, 2.740, 0
76s, 0.2347, 0.0007422, 3.203, 0
77, 0.3570, 0.001129, 3.397, 0
82o, -0.4977, -0.001574, 2.086, 0
82s, -0.1051, -0.0003325, 2.780, 0
83o, -0.4799, -0.001518, 2.107, 0
83s, -0.09893, -0.0003128, 2.780, 0
84o, -0.3809, -0.001205, 2.293, 0
84s, -0.01714, -5.420e-05, 2.891, 0
85o, -0.2793, -0.0008833, 2.471, 0
85s, 0.1091, 0.0003450, 3.049, 0
86o, -0.1576, -0.0004985, 2.665, 0
86s, 0.2014, 0.0006369, 3.163, 0
87o, -0.06433, -0.0002034, 2.806, 0
87s, 0.2782, 0.0008798, 3.250, 0
88, 0.4580, 0.001448, 3.503, 0
92o, -0.4794, -0.001516, 2.125, 0
92s, -0.07654, -0.0002420, 2.823, 0
93o, -0.4475, -0.001415, 2.174, 0
93s, -0.07608, -0.0002406, 2.814, 0
94o, -0.4339, -0.001372, 2.181, 0
94s, -0.05101, -0.0001613, 2.840, 0
95o, -0.3262, -0.001031, 2.380, 0
95s, 0.05015, 0.0001586, 2.972, 0
96o, -0.2108, -0.0006667, 2.576, 0
96s, 0.1399, 0.0004423, 3.083, 0
97o, -0.1101, -0.0003483, 2.736, 0
97s, 0.2531, 0.0008004, 3.215, 0
98o, -0.009759, -3.086e-05, 2.878, 0
98s, 0.3254, 0.001029, 3.301, 0
99, 0.5507, 0.001741, 3.591, 0
A2o, -0.1003, -0.0003173, 2.782, 0
A2s, 0.3163, 0.001000, 3.315, 0
A3o, -0.05581, -0.0001765, 2.828, 0
A3s, 0.3836, 0.001213, 3.372, 0
A4o, -0.001291, -4.084e-06, 2.887, 0
A4s, 0.4344, 0.001374, 3.417, 0
A5o, 0.01316, 4.161e-05, 2.891, 0
A5s, 0.4413, 0.001396, 3.412, 0
A6o, -0.03586, -0.0001134, 2.825, 0
A6s, 0.4083, 0.001291, 3.377, 0
A7o, 0.002740, 8.664e-06, 2.874, 0
A7s, 0.4307, 0.001362, 3.396, 0
A8o, 0.07236, 0.0002288, 2.971, 0
A8s, 0.4620, 0.001461, 3.437, 0
A9o, 0.1081, 0.0003419, 3.019, 0
A9s, 0.5517, 0.001745, 3.526, 0
AA, 2.104, 0.006655, 4.615, 0
AJo, 0.4007, 0.001267, 3.361, 0
AJs, 0.7976, 0.002522, 3.742, 0
AKo, 0.6222, 0.001968, 3.587, 0
AKs, 0.9741, 0.003080, 3.892, 0
AQo, 0.4897, 0.001549, 3.454, 0
AQs, 0.8703, 0.002752, 3.810, 0
ATo, 0.3158, 0.0009986, 3.265, 0
ATs, 0.7132, 0.002255, 3.668, 0
J2o, -0.3805, -0.001203, 2.310, 0
J2s, 0.04047, 0.0001280, 2.980, 0
J3o, -0.3531, -0.001117, 2.346, 0
J3s, 0.03523, 0.0001114, 2.959, 0
J4o, -0.3452, -0.001092, 2.344, 0
J4s, 0.08083, 0.0002556, 3.006, 0
J5o, -0.3150, -0.0009962, 2.379, 0
J5s, 0.08757, 0.0002769, 3.007, 0
J6o, -0.2793, -0.0008833, 2.444, 0
J6s, 0.09141, 0.0002891, 3.011, 0
J7o, -0.1591, -0.0005031, 2.645, 0
J7s, 0.2145, 0.0006782, 3.162, 0
J8o, -0.05761, -0.0001822, 2.800, 0
J8s, 0.3315, 0.001048, 3.297, 0
J9o, 0.09502, 0.0003005, 3.004, 0
J9s, 0.4366, 0.001381, 3.408, 0
JJ, 0.9391, 0.002970, 3.927, 0
JTo, 0.3047, 0.0009636, 3.244, 0
JTs, 0.6631, 0.002097, 3.617, 0
K2o, -0.2296, -0.0007260, 2.586, 0
K2s, 0.1974, 0.0006243, 3.181, 0
K3o, -0.2304, -0.0007287, 2.568, 0
K3s, 0.2394, 0.0007569, 3.218, 0
K4o, -0.1879, -0.0005941, 2.618, 0
K4s, 0.2416, 0.0007640, 3.207, 0
K5o, -0.1657, -0.0005239, 2.637, 0
K5s, 0.2396, 0.0007577, 3.195, 0
K6o, -0.1142, -0.0003610, 2.713, 0
K6s, 0.2790, 0.0008823, 3.242, 0
K7o, -0.08318, -0.0002630, 2.757, 0
K7s, 0.3392, 0.001073, 3.304, 0
K8o, -0.04517, -0.0001428, 2.814, 0
K8s, 0.3657, 0.001157, 3.335, 0
K9o, 0.06984, 0.0002209, 2.976, 0
K9s, 0.4755, 0.001504, 3.451, 0
KJo, 0.3682, 0.001164, 3.322, 0
KJs, 0.7627, 0.002412, 3.712, 0
KK, 1.609, 0.005090, 4.376, 0
KQo, 0.4718, 0.001492, 3.438, 0
KQs, 0.8002, 0.002530, 3.749, 0
KTo, 0.2806, 0.0008874, 3.223, 0
KTs, 0.6800, 0.002150, 3.641, 0
Q2o, -0.3138, -0.0009923, 2.439, 0
Q2s, 0.09456, 0.0002990, 3.057, 0
Q3o, -0.3027, -0.0009572, 2.444, 0
Q3s, 0.1213, 0.0003837, 3.075, 0
Q4o, -0.2813, -0.0008896, 2.466, 0
Q4s, 0.1374, 0.0004344, 3.083, 0
Q5o, -0.2429, -0.0007680, 2.513, 0
Q5s, 0.1638, 0.0005181, 3.103, 0
Q6o, -0.2229, -0.0007049, 2.542, 0
Q6s, 0.1959, 0.0006194, 3.141, 0
Q7o, -0.1875, -0.0005930, 2.598, 0
Q7s, 0.2019, 0.0006386, 3.147, 0
Q8o, -0.07526, -0.0002380, 2.777, 0
Q8s, 0.3383, 0.001070, 3.306, 0
Q9o, 0.07112, 0.0002249, 2.974, 0
Q9s, 0.4402, 0.001392, 3.416, 0
QJo, 0.3549, 0.001122, 3.310, 0
QJs, 0.7011, 0.002217, 3.655, 0
QQ, 1.213, 0.003837, 4.129, 0
QTo, 0.2819, 0.0008915, 3.228, 0
QTs, 0.6562, 0.002075, 3.610, 0
T2o, -0.4048, -0.001280, 2.255, 0
T2s, -0.03627, -0.0001147, 2.867, 0
T3o, -0.3934, -0.001244, 2.263, 0
T3s, -0.01777, -5.621e-05, 2.879, 0
T4o, -0.3674, -0.001162, 2.296, 0
T4s, 0.02110, 6.673e-05, 2.921, 0
T5o, -0.3548, -0.001122, 2.305, 0
T5s, 0.03573, 0.0001130, 2.932, 0
T6o, -0.2369, -0.0007491, 2.517, 0
T6s, 0.1211, 0.0003831, 3.048, 0
T7o, -0.1356, -0.0004289, 2.679, 0
T7s, 0.2250, 0.0007115, 3.172, 0
T8o, -0.004283, -1.355e-05, 2.868, 0
T8s, 0.3563, 0.001127, 3.320, 0
